"c_date";"c_no";"c_sum";"c_type";"c_comment";"c_receipt_id";"c_submit_date";"c_type";"c_pay_date";"c_no";"c_status";"r_comment"
"2017-12-19";"NT020";30;1;"加班 2017-12-19 3h";9;"2018-02-20";0;"2018-02-20 00:00:00";"NT020";1;"报销功能上线历史记录数据修正"
"2018-01-06";"NT020";30;1;"加班 2018-01-06 11h";9;"2018-02-20";0;"2018-02-20 00:00:00";"NT020";1;"报销功能上线历史记录数据修正"
"2017-04-01";"NT021";30;1;"加班 2017-04-01 8.5h";10;"2018-02-20";0;"2018-02-20 00:00:00";"NT021";1;"报销功能上线历史记录数据修正"
"2017-04-14";"NT021";30;1;"加班 2017-04-14 4h";10;"2018-02-20";0;"2018-02-20 00:00:00";"NT021";1;"报销功能上线历史记录数据修正"
"2017-04-15";"NT021";30;1;"加班 2017-04-15 6.5h";10;"2018-02-20";0;"2018-02-20 00:00:00";"NT021";1;"报销功能上线历史记录数据修正"
"2017-05-11";"NT021";30;1;"加班 2017-05-11 2.5h";10;"2018-02-20";0;"2018-02-20 00:00:00";"NT021";1;"报销功能上线历史记录数据修正"
"2017-08-06";"NT021";30;1;"加班 2017-08-06 8h";10;"2018-02-20";0;"2018-02-20 00:00:00";"NT021";1;"报销功能上线历史记录数据修正"
"2017-12-19";"NT021";30;1;"加班 2017-12-19 2.5h";10;"2018-02-20";0;"2018-02-20 00:00:00";"NT021";1;"报销功能上线历史记录数据修正"
"2017-12-28";"NT021";30;1;"加班 2017-12-28 2.5h";10;"2018-02-20";0;"2018-02-20 00:00:00";"NT021";1;"报销功能上线历史记录数据修正"
"2018-01-06";"NT021";30;1;"加班 2018-01-06 8h";10;"2018-02-20";0;"2018-02-20 00:00:00";"NT021";1;"报销功能上线历史记录数据修正"
"2016-12-08";"NT018";30;1;"加班 2016-12-08 3.5h";11;"2018-02-20";0;"2018-02-20 00:00:00";"NT018";1;"报销功能上线历史记录数据修正"
"2017-04-01";"NT018";30;1;"加班 2017-04-01 9.5h";11;"2018-02-20";0;"2018-02-20 00:00:00";"NT018";1;"报销功能上线历史记录数据修正"
"2017-04-14";"NT018";30;1;"加班 2017-04-14 4h";11;"2018-02-20";0;"2018-02-20 00:00:00";"NT018";1;"报销功能上线历史记录数据修正"
"2017-01-08";"869";101;3;"插座";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2018-02-28";"NT020";99;3;"耳机和麦克风";12;"2018-03-02";2;"2018-04-10 00:00:00";"NT020";1;""
"2018-02-28";"NT020";389;3;"硬盘";13;"2018-03-02";2;"2018-04-10 00:00:00";"NT020";1;""
"2018-02-28";"NT020";499;3;"微波炉";14;"2018-03-02";2;"2018-04-10 00:00:00";"NT020";1;""
"2018-02-28";"NT020";457;3;"8G内存条";15;"2018-03-02";2;"2018-04-10 00:00:00";"NT020";1;""
"2018-02-28";"NT020";249;3;"4G内存条";16;"2018-03-02";2;"2018-04-10 00:00:00";"NT020";1;""
"2018-01-08";"869";152.5;3;"文具";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2018-01-04";"869";110;3;"转接头3个+硬盘线5根、网络头钳子";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2018-01-08";"869";32;3;"转接头1个";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2018-03-07";"NT022";324;5;"出差去上海参加图研访问";18;"2018-03-07";2;"2018-04-10 00:00:00";"NT022";1;""
